en,file,file-name,gen,id,length
Olivaceous Woodcreeper,//www.xeno-canto.org/678053/download,XC678053-24-09-2021 17e41 Arapacu verde SJBARREIRO TS.mp3,Sittasomus,678053,0:09
Olivaceous Woodcreeper,//www.xeno-canto.org/678050/download,XC678050-24-09-2021 17e37 Arapacu verde SJBARREIRO G1.mp3,Sittasomus,678050,0:09
Olivaceous Woodcreeper,//www.xeno-canto.org/669036/download,XC669036-S griseicapilla ANG-19_20191010_063200.mp3,Sittasomus,669036,0:38
Olivaceous Woodcreeper,//www.xeno-canto.org/662171/download,XC662171-07-07-2021 6e50 Arapacu verde LAGEADO.mp3,Sittasomus,662171,0:07
Olivaceous Woodcreeper,//www.xeno-canto.org/659099/download,XC659099-arapaçuverde.mp3,Sittasomus,659099,2:01
Olivaceous Woodcreeper,//www.xeno-canto.org/618921/download,XC618921-Sittasomus griseicapillusUruçuca_210122_0904.mp3,Sittasomus,618921,0:23
Olivaceous Woodcreeper,//www.xeno-canto.org/595491/download,"XC595491-Olivaceous Woodcreeper, song, Tower, 09.10.2020.mp3",Sittasomus,595491,0:10
Olivaceous Woodcreeper,//www.xeno-canto.org/592804/download,XC592804-201004_Streak-capped Antwren3.MP3,Sittasomus,592804,0:43
Olivaceous Woodcreeper,//www.xeno-canto.org/587236/download,XC587236-Sittasomus griseicapillus_Lençois_200830_0613.mp3,Sittasomus,587236,0:06
Olivaceous Woodcreeper,//www.xeno-canto.org/584532/download,XC584532-Sittasomus griseicapillus_Lençois_20200824-082656.mp3,Sittasomus,584532,0:56
Olivaceous Woodcreeper,//www.xeno-canto.org/570675/download,XC570675-Sittasomus griseicapillus amazonus DCB 630-9.mp3,Sittasomus,570675,0:18
Olivaceous Woodcreeper,//www.xeno-canto.org/570673/download,XC570673-Sittasomus griseicapillus amazonus DCB 630-8.mp3,Sittasomus,570673,2:02
Olivaceous Woodcreeper,//www.xeno-canto.org/565150/download,XC565150-Arapacu verde (Sittasomus griseicapillus-OK) 03-06-2020 7e10.mp3,Sittasomus,565150,0:08
Olivaceous Woodcreeper,//www.xeno-canto.org/541162/download,XC541162-02-04-2020 7e8 Arapacu verde.mp3,Sittasomus,541162,0:04
Olivaceous Woodcreeper,//www.xeno-canto.org/522703/download,XC522703-Sittasomus griseicapillus DCB 470-2g.mp3,Sittasomus,522703,0:32
Olivaceous Woodcreeper,//www.xeno-canto.org/495911/download,XC495911-Sittasomus griseicapillus DCB 621-5.mp3,Sittasomus,495911,0:10
Olivaceous Woodcreeper,//www.xeno-canto.org/493832/download,XC493832-30-7-2019 7e23 Arapacu verde.mp3,Sittasomus,493832,0:17
Olivaceous Woodcreeper,//www.xeno-canto.org/483479/download,XC483479-ARAPAÇU-VERDE III.mp3,Sittasomus,483479,0:06
Olivaceous Woodcreeper,//www.xeno-canto.org/482160/download,XC482160-1259 Sittasomus griseicapillus viridis (Calls)_CujubimRO_101114_FIG.mp3,Sittasomus,482160,1:32
Olivaceous Woodcreeper,//www.xeno-canto.org/479867/download,XC479867-Arapacu verde2 (Sittasomus griseicapillus-OK-OK) 7-6-2019 17e54.mp3,Sittasomus,479867,0:11
Olivaceous Woodcreeper,//www.xeno-canto.org/435648/download,XC435648-mp3_S. griseicapillus.mp3,Sittasomus,435648,0:50
Olivaceous Woodcreeper,//www.xeno-canto.org/435444/download,XC435444-Arapacu verde4 (Sittasomus griseicapillus-OK) 11-9 17e33.mp3,Sittasomus,435444,0:25
Olivaceous Woodcreeper,//www.xeno-canto.org/435443/download,XC435443-Arapacu verde3 (Sittasomus griseicapillus-OK) TUC 9-9 14e54.mp3,Sittasomus,435443,0:07
Olivaceous Woodcreeper,//www.xeno-canto.org/432357/download,XC432357-Arapacu verde3 (Sittasomus griseicapillus-OK-OK) 25-08-18 9e58.mp3,Sittasomus,432357,0:59
Olivaceous Woodcreeper,//www.xeno-canto.org/428636/download,XC428636-Sittasomus griseicapillus.mp3,Sittasomus,428636,0:03
Olivaceous Woodcreeper,//www.xeno-canto.org/421810/download,XC421810-1948 Cichlocolaptes leucophrus (rattle)SaoMiguel_SP_Klabin_231015.mp3,Sittasomus,421810,0:35
Olivaceous Woodcreeper,//www.xeno-canto.org/421503/download,XC421503-1825 Sittasomus griseicapillus (calls)_Taquara_Belmonte_BA_010916_FIG.mp3,Sittasomus,421503,0:55
Olivaceous Woodcreeper,//www.xeno-canto.org/419133/download,XC419133-877 Sittasomus griseicapillus(calls in resp assobio)Cerradinho_TelemacoBorbaPR210214.mp3,Sittasomus,419133,1:11
Olivaceous Woodcreeper,//www.xeno-canto.org/415019/download,XC415019-OlivaceousWoodcrepper_Brazil_030417_call.mp3,Sittasomus,415019,0:25
Olivaceous Woodcreeper,//www.xeno-canto.org/403833/download,XC403833-Arapacu verde2 (Sittasomus griseicapillus-OK).mp3,Sittasomus,403833,0:31
Olivaceous Woodcreeper,//www.xeno-canto.org/403832/download,XC403832-Arapaçu verde (Sittasomus griseicapillus-OK).mp3,Sittasomus,403832,0:07
Olivaceous Woodcreeper,//www.xeno-canto.org/394820/download,XC394820-Sittasomus griseicapillus.mp3,Sittasomus,394820,0:06
Olivaceous Woodcreeper,//www.xeno-canto.org/388507/download,XC388507-Sittasomus 2.mp3,Sittasomus,388507,0:15
Olivaceous Woodcreeper,//www.xeno-canto.org/337375/download,"XC337375-Olivaceous Woodcreeper, 23.09., call, Caraca.mp3",Sittasomus,337375,1:39
Olivaceous Woodcreeper,//www.xeno-canto.org/333059/download,XC333059-Dendrocolaptidae_Sittasomus_griseicapillus_27_08_2016_H16_54_Doutor_Pedrinho.mp3,Sittasomus,333059,0:58
Olivaceous Woodcreeper,//www.xeno-canto.org/329794/download,XC329794-UNID0408.mp3,Sittasomus,329794,0:49
Olivaceous Woodcreeper,//www.xeno-canto.org/328525/download,XC328525-MOB238_Sittasomus griseicapillus reiseril_Caseara_PEC_22_06_16_edit.mp3,Sittasomus,328525,0:11
Olivaceous Woodcreeper,//www.xeno-canto.org/294732/download,XC294732-Dendrocolaptidae_Sittasomus_griseicapillus_17_08_2015_H15_15_Doutor_Pedrinho.mp3,Sittasomus,294732,0:37
Olivaceous Woodcreeper,//www.xeno-canto.org/292225/download,XC292225-SITGRI98.mp3,Sittasomus,292225,0:08
Olivaceous Woodcreeper,//www.xeno-canto.org/286741/download,XC286741-CARCUC01.mp3,Sittasomus,286741,1:20
Olivaceous Woodcreeper,//www.xeno-canto.org/254595/download,XC254595-SITGRI11.mp3,Sittasomus,254595,1:16
Olivaceous Woodcreeper,//www.xeno-canto.org/254590/download,XC254590-SITGRI49.mp3,Sittasomus,254590,0:45
Olivaceous Woodcreeper,//www.xeno-canto.org/254529/download,XC254529-SITGRI73.mp3,Sittasomus,254529,0:39
Olivaceous Woodcreeper,//www.xeno-canto.org/254524/download,XC254524-SITGRI45 beginning.mp3,Sittasomus,254524,1:24
Olivaceous Woodcreeper,//www.xeno-canto.org/254520/download,XC254520-SITGRI21.mp3,Sittasomus,254520,0:06
Olivaceous Woodcreeper,//www.xeno-canto.org/252306/download,XC252306-N ID 5.mp3,Sittasomus,252306,0:15
Olivaceous Woodcreeper,//www.xeno-canto.org/229787/download,XC229787-Olivaceous Woodcreeper A 6175.mp3,Sittasomus,229787,0:42
Olivaceous Woodcreeper,//www.xeno-canto.org/229786/download,XC229786-Olivaceous Woodcreeper A 6172.mp3,Sittasomus,229786,0:09
Olivaceous Woodcreeper,//www.xeno-canto.org/229781/download,XC229781-Olivaceous Woodcreeper A 6166.mp3,Sittasomus,229781,1:00
Olivaceous Woodcreeper,//www.xeno-canto.org/176600/download,"XC176600-Sitt griseic (Irani-SC, 18.01.14) .mp3",Sittasomus,176600,0:06
Olivaceous Woodcreeper,//www.xeno-canto.org/166047/download,XC166047-LS110184 Olivaceous Woodcreeper.mp3,Sittasomus,166047,0:16
Olivaceous Woodcreeper,//www.xeno-canto.org/138543/download,XC138543-arapaçu-verde.mp3,Sittasomus,138543,0:08
Olivaceous Woodcreeper,//www.xeno-canto.org/133634/download,XC133634-Sittasomus griseicapillus.mp3,Sittasomus,133634,0:10
Olivaceous Woodcreeper,//www.xeno-canto.org/113868/download,XC113868-arapaçu-verde2.mp3,Sittasomus,113868,0:47
Olivaceous Woodcreeper,//www.xeno-canto.org/90631/download,SITGRI69.mp3,Sittasomus,90631,2:29
Olivaceous Woodcreeper,//www.xeno-canto.org/80493/download,SITGRI46.mp3,Sittasomus,80493,0:13
Olivaceous Woodcreeper,//www.xeno-canto.org/80491/download,SITGRI42.mp3,Sittasomus,80491,0:25
Olivaceous Woodcreeper,//www.xeno-canto.org/76496/download,Sittasomus griseicapillus MMelo presfig.mp3,Sittasomus,76496,0:09
Olivaceous Woodcreeper,//www.xeno-canto.org/70844/download,Sittasomus griseicapillus0731-1.mp3,Sittasomus,70844,1:16
Olivaceous Woodcreeper,//www.xeno-canto.org/70830/download,Sittasomus griseicapillus0607-1.mp3,Sittasomus,70830,0:09
Olivaceous Woodcreeper,//www.xeno-canto.org/64851/download,Sittasomus_griseicapillus_PNI_23102010_1106.mp3,Sittasomus,64851,0:04
Olivaceous Woodcreeper,//www.xeno-canto.org/43269/download,Dendrocolaptidae._Sittasomus_griseicapillus_RPPN_Prima_Luna_20.01.2010_ELXC.mp3,Sittasomus,43269,0:16
Olivaceous Woodcreeper,//www.xeno-canto.org/29500/download,WCOlivaceous_FL EsperitoSanto.mp3,Sittasomus,29500,0:45
Olivaceous Woodcreeper,//www.xeno-canto.org/26116/download,S.griseicapillusFaz.BoaSorteMurici091108.mp3,Sittasomus,26116,0:10
Olivaceous Woodcreeper,//www.xeno-canto.org/24080/download,Sittasomus_griseicapillus.03.mp3,Sittasomus,24080,0:30
Olivaceous Woodcreeper,//www.xeno-canto.org/23762/download,Sittasomus griseicapillus.mp3,Sittasomus,23762,0:17
Olivaceous Woodcreeper,//www.xeno-canto.org/20949/download,olivaceous woodcreeper.mp3,Sittasomus,20949,0:32
Olivaceous Woodcreeper,//www.xeno-canto.org/7431/download,"Sittasomus griseicapillus_Engenho Cachoeira Linda, Barreiros, Pe_12.03.06_Glauco.mp3",Sittasomus,7431,0:08
Olivaceous Woodcreeper,//www.xeno-canto.org/5513/download,Oliv_Woodcr_zizo-3-25.mp3,Sittasomus,5513,0:06
Olivaceous Woodcreeper,//www.xeno-canto.org/5269/download,Sittasomus griseicapillus 3.mp3,Sittasomus,5269,0:26
Olivaceous Woodcreeper,//www.xeno-canto.org/5267/download,Sittasomus griseicapillus 1.mp3,Sittasomus,5267,0:22
Olivaceous Woodcreeper,//www.xeno-canto.org/674575/download,XC674575-10-09-2021 8e37 Arapacu verde.mp3,Sittasomus,674575,0:05
Olivaceous Woodcreeper,//www.xeno-canto.org/669562/download,XC669562-Sittasomus griseicapillus DCB 266-10.mp3,Sittasomus,669562,0:22
Olivaceous Woodcreeper,//www.xeno-canto.org/669561/download,XC669561-Sittasomus griseicapillus DCB 266-9.mp3,Sittasomus,669561,0:08
Olivaceous Woodcreeper,//www.xeno-canto.org/668986/download,XC668986-ARAPAÇU-VERDE (2).mp3,Sittasomus,668986,0:05
Olivaceous Woodcreeper,//www.xeno-canto.org/668622/download,XC668622-Sittasomus griseicapillus DCB 459-8m.mp3,Sittasomus,668622,1:45
Olivaceous Woodcreeper,//www.xeno-canto.org/659191/download,XC659191-Sittasomus griseicapillus DCB 659-12.mp3,Sittasomus,659191,0:22
